,Pred_Age,True_Age,Age_res,platform
GSM3853231,51.69947814941406,54.0,-2.3005218505859375,850k
GSM3853232,59.08797836303711,59.0,0.08797836303710938,850k
GSM3853233,23.20937728881836,24.0,-0.7906227111816406,850k
GSM3853234,46.78677749633789,46.0,0.7867774963378906,850k
GSM3853235,41.11131286621094,41.0,0.1113128662109375,850k
GSM3853236,48.248409271240234,48.0,0.24840927124023438,850k
GSM3853237,38.417274475097656,38.0,0.41727447509765625,850k
GSM3853238,58.08657455444336,59.0,-0.9134254455566406,850k
GSM3853239,44.92820358276367,44.0,0.9282035827636719,850k
GSM3853240,43.18941879272461,43.0,0.18941879272460938,850k
GSM3853241,56.467674255371094,59.0,-2.5323257446289062,850k
GSM3853242,61.001373291015625,60.0,1.001373291015625,850k
GSM3853243,46.25086212158203,47.0,-0.7491378784179688,850k
GSM3853244,32.5612678527832,32.0,0.5612678527832031,850k
GSM3853245,30.644210815429688,30.0,0.6442108154296875,850k
GSM3853246,46.674076080322266,47.0,-0.3259239196777344,850k
GSM3853247,52.83073043823242,53.0,-0.16926956176757812,850k
GSM3853248,50.042415618896484,48.0,2.0424156188964844,850k
GSM3853249,52.52912139892578,54.0,-1.4708786010742188,850k
GSM3853250,49.796592712402344,50.0,-0.20340728759765625,850k
GSM3853251,47.05855941772461,47.0,0.058559417724609375,850k
GSM3853252,23.19951057434082,25.0,-1.8004894256591797,850k
GSM3853253,39.43149185180664,40.0,-0.5685081481933594,850k
GSM3853254,43.69844055175781,43.0,0.6984405517578125,850k
GSM3853255,46.730224609375,47.0,-0.269775390625,850k
GSM3853256,51.751007080078125,52.0,-0.248992919921875,850k
GSM3853257,47.4754524230957,47.0,0.4754524230957031,850k
GSM3853258,34.48691940307617,34.0,0.4869194030761719,850k
GSM3853259,37.49664306640625,37.0,0.49664306640625,850k
GSM3853260,42.67837142944336,45.0,-2.3216285705566406,850k
GSM3853261,46.30837631225586,47.0,-0.6916236877441406,850k
GSM3853262,23.83913803100586,24.0,-0.16086196899414062,850k
GSM3853263,47.307884216308594,48.0,-0.6921157836914062,850k
GSM3853264,49.227020263671875,48.0,1.227020263671875,850k
GSM3853265,46.72270202636719,47.0,-0.2772979736328125,850k
GSM3853266,50.81575012207031,50.0,0.8157501220703125,850k
GSM3853267,38.1673698425293,37.0,1.1673698425292969,850k
GSM3853268,50.0992431640625,51.0,-0.9007568359375,850k
GSM3853269,66.47110748291016,67.0,-0.5288925170898438,850k
GSM3853270,50.953155517578125,52.0,-1.046844482421875,850k
GSM3853271,52.89984893798828,54.0,-1.1001510620117188,850k
GSM3853272,56.3863525390625,54.0,2.3863525390625,850k
GSM3853273,49.89342498779297,48.0,1.8934249877929688,850k
GSM3853274,27.522342681884766,28.0,-0.4776573181152344,850k
GSM3853275,48.54914093017578,49.0,-0.45085906982421875,850k
GSM3853276,34.91062927246094,36.0,-1.0893707275390625,850k
GSM3853277,43.961124420166016,44.0,-0.038875579833984375,850k
GSM3853278,59.795509338378906,59.0,0.7955093383789062,850k
GSM3853279,49.406307220458984,50.0,-0.5936927795410156,850k
GSM3853280,60.23958206176758,58.0,2.239582061767578,850k
GSM3853281,51.38103485107422,50.0,1.3810348510742188,850k
GSM3853282,51.174522399902344,50.0,1.1745223999023438,850k
GSM3853283,50.33936309814453,49.0,1.3393630981445312,850k
GSM3853284,45.406494140625,46.0,-0.593505859375,850k
GSM3853285,46.19152069091797,47.0,-0.8084793090820312,850k
GSM3853286,49.45555877685547,49.0,0.45555877685546875,850k
GSM3853287,33.86546325683594,33.0,0.8654632568359375,850k
GSM3853288,55.57590866088867,59.0,-3.424091339111328,850k
GSM3853289,54.68361282348633,55.0,-0.3163871765136719,850k
GSM3853290,30.546703338623047,30.0,0.5467033386230469,850k
GSM3853291,59.50016784667969,59.0,0.5001678466796875,850k
GSM3853292,57.068878173828125,57.0,0.068878173828125,850k
GSM3853293,30.601436614990234,32.0,-1.3985633850097656,850k
GSM3853294,36.56255340576172,38.0,-1.4374465942382812,850k
GSM3853295,20.774974822998047,22.0,-1.2250251770019531,850k
GSM3853296,47.37831115722656,48.0,-0.6216888427734375,850k
GSM3853297,63.337100982666016,65.0,-1.6628990173339844,850k
GSM3853298,40.3574333190918,41.0,-0.6425666809082031,850k
GSM3853299,43.17054748535156,43.0,0.1705474853515625,850k
GSM3853300,42.66805648803711,43.0,-0.3319435119628906,850k
GSM3853301,40.993629455566406,40.0,0.9936294555664062,850k
GSM3853302,46.254478454589844,48.0,-1.7455215454101562,850k
GSM3853303,47.57262420654297,49.0,-1.4273757934570312,850k
GSM3853304,48.763179779052734,53.0,-4.236820220947266,850k
GSM3853305,45.8834114074707,46.0,-0.11658859252929688,850k
GSM3853306,50.14259719848633,47.0,3.142597198486328,850k
GSM3853307,50.357765197753906,51.0,-0.6422348022460938,850k
GSM3853308,49.84373092651367,50.0,-0.15626907348632812,850k
GSM3853309,22.490501403808594,23.0,-0.5094985961914062,850k
GSM3853310,52.72962951660156,56.0,-3.2703704833984375,850k
